factor_id,label,emissions_factor_gco2_per_kwh,factor_basis,uka_price_gbp_per_tco2,indicative_carbon_cost_gbp_per_mwh,auction_reserve_price_gbp_per_tco2,auction_reserve_price_cost_gbp_per_mwh,ccm_trigger_price_gbp_per_tco2,ccm_trigger_context_gbp_per_mwh
UK_AVERAGE_GENERATION,UK generation average context,154.0,GOV.UK FMD UK generation average factor,33.8,5.21,28.0,4.31,137.71,21.21
FMD_RESIDUAL_MIX,FMD residual mix context,481.09,GOV.UK FMD residual mix context factor,33.8,16.26,28.0,13.47,137.71,66.25
GAS_PROXY,Natural gas proxy,382.0,GOV.UK FMD natural gas emissions factor proxy,33.8,12.91,28.0,10.7,137.71,52.61
